15;99;5;3;1;3;1;5;2;2;2;2;1;1;1
15;166;4;3;1;3;1;1;2;2;2;1;1;1;1
15;3545;2;3;1;3;1;5;2;7;7;2;1;1;1
15;3748;4;3;1;4;1;2;2;2;2;1;1;2;1
15;3770;2;3;1;1;1;5;2;7;7;2;1;1;1
15;86;5;3;1;1;1;1;2;2;2;1;1;1;1
15;3743;3;3;1;1;1;1;2;7;7;2;1;2;1
21;47;5;4;1;4;1;5;2;4;3;1;1;1;1
21;3726;3;4;1;4;1;5;2;7;3;1;2;2;1
21;3510;3;2;3;4;1;4;2;7;7;1;1;2;1
21;38;5;2;2;2;1;2;3;2;2;2;1;2;1
21;66;3;2;2;3;1;5;1;7;2;2;2;1;1
21;3579;5;4;1;4;1;5;2;2;2;1;2;1;1
21;3750;5;3;2;4;1;1;1;2;7;1;1;1;1
25;16;2;2;2;4;1;2;1;2;7;1;1;1;1
25;47;5;2;2;2;1;1;2;4;3;3;1;1;1
25;52;2;1;3;4;1;5;1;2;2;1;1;1;1
25;66;4;2;2;3;1;2;2;2;4;3;2;1;1
25;83;3;1;2;3;1;1;1;7;7;1;2;1;1
25;99;1;3;2;3;1;5;2;6;6;3;1;1;1
25;201;4;4;1;4;1;5;1;4;3;1;1;1;1
25;3726;5;3;2;4;2;4;3;3;3;2;1;1;1
25;3743;2;2;2;4;1;5;2;2;2;1;1;1;1
25;3687;2;2;1;4;1;5;1;7;2;1;1;1;1
26;18;4;4;1;3;1;2;2;2;2;2;1;1;1
26;16;1;3;1;3;1;1;2;7;7;2;1;1;1
26;47;3;2;2;3;1;2;1;7;7;2;1;1;1
26;54;4;3;1;3;1;5;2;1;4;2;1;1;1
26;38;3;3;1;3;1;5;2;6;7;2;1;1;1
26;67;4;3;2;1;1;1;2;7;7;2;1;1;1
26;3726;5;4;1;4;1;5;1;7;4;2;1;1;1
26;3770;1;3;1;4;2;2;4;7;7;2;1;2;1
26;3687;4;3;2;4;1;4;2;2;2;1;1;2;1
27;18;4;3;3;2;1;2;7;7;2;1;2;1;1
27;47;3;4;2;3;1;5;2;7;7;2;1;1;1
27;38;4;1;2;3;1;2;1;4;2;1;1;1;1
27;201;4;4;2;4;1;5;2;7;7;3;1;0;1
27;166;3;2;1;3;1;5;2;7;7;1;1;1;1
27;3649;4;4;1;4;1;4;2;2;2;1;2;1;1
28;47;3;3;2;3;3;5;2;7;7;2;1;1;1
28;38;4;3;1;3;1;5;1;4;2;1;1;1;1
28;166;3;2;1;3;3;5;2;2;3;1;1;1;1
28;201;3;3;2;4;3;5;2;7;4;1;1;2;1
28;3649;4;3;1;4;3;5;2;2;2;1;1;2;1
31;47;5;2;2;4;1;5;1;2;4;1;1;1;1
31;18;5;2;2;4;1;1;1;2;2;1;1;1;1
31;38;4;2;2;4;1;2;1;2;2;1;1;1;1
31;109;4;2;3;3;1;1;1;2;2;1;1;1;1
31;199;3;3;2;4;1;5;1;7;7;2;1;1;1
31;212;4;2;2;3;1;5;1;2;6;1;1;1;1
31;138;4;2;2;3;1;2;1;3;3;1;1;1;1
31;3610;5;2;2;4;1;4;1;2;2;1;1;1;1
31;3579;5;3;2;4;1;1;1;2;4;1;2;1;1
33;77;4;3;2;3;1;4;2;4;4;1;1;1;1
33;47;5;4;2;4;1;1;2;3;4;1;1;1;1
33;141;5;3;1;4;1;5;2;4;4;1;1;1;1
33;3510;4;3;2;4;1;4;2;7;1;1;1;1;1
33;3579;4;4;2;4;1;1;2;7;7;2;2;2;1
33;3726;3;3;1;4;1;5;2;6;6;2;2;1;1
33;3787;4;3;3;1;1;1;2;2;1;1;1;1;1
35;13;3;2;1;3;1;1;1;5;7;1;1;1;1
35;47;5;4;2;3;1;2;1;2;2;2;1;1;1
35;18;2;3;1;4;1;5;1;7;4;1;1;1;1
35;66;5;4;2;3;1;2;1;4;4;1;1;1;1
35;220;5;3;1;3;1;2;1;2;2;2;1;2;2
35;3545;5;3;1;4;1;2;1;2;2;1;1;1;1
35;3610;4;3;2;4;1;4;1;2;2;1;1;1;1
35;3726;4;2;2;4;1;1;1;1;7;1;1;1;1
37;3510;3;4;1;3;1;2;2;4;4;1;1;1;1
37;39;4;4;2;3;1;2;1;4;2;3;1;1;1
37;47;4;4;1;3;2;2;2;2;4;2;1;1;1
42;38;5;3;2;3;3;5;2;4;4;2;1;1;1
42;54;5;3;2;2;3;1;2;1;4;2;1;1;1
42;99;2;3;1;3;3;5;1;7;7;1;1;1;1
42;141;5;4;2;3;3;5;2;2;4;2;1;1;1
42;180;5;3;2;3;3;2;2;1;2;1;1;1;1
42;3510;3;4;2;3;3;2;2;7;7;3;1;2;1
42;18;4;3;2;2;3;1;2;2;2;1;1;2;1
43;67;4;4;1;3;1;5;3;7;2;1;1;2;1
43;3713;5;3;3;4;1;4;1;4;7;2;1;1;1
43;3649;4;2;1;4;1;2;1;2;4;2;1;1;1
48;18;2;3;1;4;1;1;1;7;7;2;1;1;1
48;47;4;4;1;4;1;5;1;7;7;1;1;1;1
48;83;4;2;2;4;1;1;1;7;7;2;1;1;1
48;104;4;3;1;3;3;5;3;7;2;1;1;2;1
48;3748;5;4;1;4;1;5;1;7;2;1;1;1;1
48;3750;5;4;1;4;1;5;1;2;4;1;1;1;1
48;3726;5;4;1;4;1;5;1;2;7;1;1;1;1
48;3844;5;3;2;4;1;5;1;2;4;1;1;1;1
49;47;5;3;2;2;2;2;3;2;4;1;1;1;1
50;38;5;2;2;3;2;1;6;2;2;1;1;2;1
